Venue Type,Name,Address,City ,State,ZIP Code,Location,Community Areas,,Not on original map,,,,Community Areas
Community Center,Roseland Community Center,10858 S. Michigan,Chicago,IL,60628,"10858 Michigan
Chicago, IL 60628
(41.69259085400046, -87.62300715199967)",Roseland,,,,,,Morgan Park
CDPH Clinic,Roseland Specialty Clinic,200 E. 115th Street,Chicago,IL,60628,"200 115th Street
Chicago, IL 60628
(41.68531698200047, -87.62778976499965)",Roseland,,,,,,Woodlawn
Clinic,RoselandPlanned Parenthood of Illinois,11250 S Halsted,Chicagi,IL,60628,"11250 Halsted
Chicagi, IL 60628
(41.69259085400046, -87.62300715199967)",Morgan Park,,,,,,New City
Bar/Club,Second Story,157 E. Oak,Chicago,IL,60613,"157 Oak
Chicago, IL 60613
(41.95275240300049, -87.65692860999968)",Near North Side,,,,,,North Lawndale
Barbershop,Self Explanatory,4121 W Madison,Chicago,IL,60644,"4121 Madison
Chicago, IL 60644
(41.881172782000476, -87.75881898899968)",West Garfield Park,,,,,,Loop
CDPH Clinic,South Austin Specialty Clinic,4958 W. Madison,Chicago,IL,60644,"4958 Madison
Chicago, IL 60644
(41.881172782000476, -87.75881898899968)",Austin,,,,,,
CBO,South Side Help Center,10420 S. Halsted,Chicago,IL,60628,"10420 Halsted
Chicago, IL 60628
(41.69259085400046, -87.62300715199967)",Washington Heights,,,,,,Grand Boulevard
Bar/Club,Spin,800 W. Belmont,Chicago,IL,60657,"800 Belmont
Chicago, IL 60657
(41.93995201700045, -87.65243587399965)",Lake View,,,,,,Lake View
Bar/Club,Steamworks,3246 N. Halsted,Chicago,IL,60657,"3246 Halsted
Chicago, IL 60657
(41.93995201700045, -87.65243587399965)",Lake View,,,,,,
CBO,Task Force Prevention,9 North Cicero,Chicago,IL,60644,"9 Cicero
Chicago, IL 60644
(41.881172782000476, -87.75881898899968)",Austin,,,,,,Austin
CBO,Test Positive Aware Network,5537 N. Broadway,Chicago,IL,60640,"5537 Broadway
Chicago, IL 60640
(41.971470687000476, -87.66114760999966)",Edgewater,,,,,,Rogers Park
Bar/Club,The Call,1547 N. Clark,Chicago,IL,60610,"1547 Clark
Chicago, IL 60610
(41.90544398300045, -87.63214904399968)",Old Town,,,,,,Brighton Park
Bar,The Music Lounge,3017 W. Armitage,Chicago,IL,60647,"3017 Armitage
Chicago, IL 60647
(41.92057329200048, -87.69937931399966)",Logan Square,,,,,,
Hotel,The North Hotel,1622 N. California,Chicago,IL,60647,"1622 California
Chicago, IL 60647
(41.92057329200048, -87.69937931399966)",West Town,,,,,,Loop
Lingerie Company,Thin N That Lingerie,7506 S. Saginaw,Chicago,IL,60649,"7506 Saginaw
Chicago, IL 60649
(41.76254109700045, -87.56934633399965)",South Shore,,,,,,
CBO,Thresholds,4101 N. Ravenswood,Chicago,IL,60613,"4101 Ravenswood
Chicago, IL 60613
(41.95275240300049, -87.65692860999968)",Lake View,,,,,,
Beauty/Barber Shop,TNT Barber Shop,8637 S. Cottage Grove,Chicago,IL,60619,"8637 Cottage Grove
Chicago, IL 60619
(41.7458432410005, -87.60576617099969)",Chatham,,,,,,Grand Boulevard
Bar/Club,Touche,6412 N. Clark,Chicago,IL,60626,"6412 Clark
Chicago, IL 60626
(42.00963287000047, -87.66797795999969)",Rogers Park,,,,,,
CBO,TRIAD,3000 N. Halsted,Chicago,IL,60657,"3000 Halsted
Chicago, IL 60657
(41.93995201700045, -87.65243587399965)",Lake View,,,,,,
Auto Repair Shop,Union Auto,5828 S. Union,Chicago,IL,60649,"5828 S Union
Chicago, IL 60649
(41.76254109700045, -87.56934633399965)",Englewood,,,,,,Roseland
Clinic,University of Illinois at Chicago,1801 W. Taylor St.,Chicago,IL,60612,"1801 Taylor St
Chicago, IL 60612
(41.86916408900049, -87.67151031999964)",Near West Side,,,,,,
Bar,Wabash Tap,1233 S. Wabash,Chicago,IL,60605,"1233 Wabash
Chicago, IL 60605
(41.86919360200045, -87.62704800699964)",Loop,,,,,,Brighton Park
Store,Walgreens,4025 N. Sheridan,Chicago,IL,60613,"4025 Sheridan
Chicago, IL 60613
(41.95275240300049, -87.65692860999968)",Uptown,,,,,,Chatham
Hair Studio,Wences Hair Studio,3540 W. North Ave.,Chicago,IL,60647,"3540 North Ave
Chicago, IL 60647
(41.910010472000465, -87.71564021699965)",Humboldt Park,,,,,,Belmont Cragin
CDPH Clinic,West Town Specialty Clinic,2418 W. Division,Chicago,IL,60622,"2418 Division
Chicago, IL 60622
(41.90223302400045, -87.68066971999968)",West Town,,,,,,
Treatment Facility,Women?s Professional,6701 S. Elizabeth,Chicago,IL,60636,"6701 Elizabeth
Chicago, IL 60636
(41.77666236500045, -87.66772594899965)",West Englewood,,,,,,
